Name,Data and time,Latitude,Longitude
image215,28-04-20 07:07,24.845,-66.811
image216,28-04-20 07:08,25.551,-66.139
image217,28-04-20 07:08,26.299,-65.413
image218,28-04-20 07:08,26.997,-64.723
image219,28-04-20 07:08,27.736,-63.977
image220,28-04-20 07:09,28.425,-63.267
image221,28-04-20 07:09,29.155,-62.499
image222,28-04-20 07:09,29.835,-61.767
image223,28-04-20 07:09,30.51,-61.025
image224,28-04-20 07:10,31.224,-60.222
image225,28-04-20 07:10,31.977,-59.353
image226,28-04-20 07:10,32.635,-58.574
image227,28-04-20 07:11,33.287,-57.782
image228,28-04-20 07:11,33.977,-56.923
image229,28-04-20 07:11,34.616,-56.104
image230,28-04-20 07:11,35.292,-55.216
image231,28-04-20 07:12,35.918,-54.369
image232,28-04-20 07:12,36.579,-53.449
image233,28-04-20 07:12,37.19,-52.571
image234,28-04-20 07:12,37.834,-51.618
image235,28-04-20 07:13,38.43,-50.708
image236,28-04-20 07:13,39.056,-49.72
image237,28-04-20 07:13,39.673,-48.713
image238,28-04-20 07:13,40.242,-47.752
image239,28-04-20 07:14,40.838,-46.707
image240,28-04-20 07:14,41.388,-45.71
image241,28-04-20 07:14,41.963,-44.626
image242,28-04-20 07:14,42.492,-43.591
image243,28-04-20 07:15,43.044,-42.466
image244,28-04-20 07:15,43.55,-41.393
image245,28-04-20 07:15,44.078,-40.227
image246,28-04-20 07:15,44.56,-39.114
image247,28-04-20 07:16,45.061,-37.905
image248,28-04-20 07:16,45.517,-36.752
image249,28-04-20 07:16,45.989,-35.5
image250,28-04-20 07:16,46.418,-34.306
image251,28-04-20 07:17,46.86,-33.01
image252,28-04-20 07:17,47.286,-31.693
image253,28-04-20 07:17,47.669,-30.438
image254,28-04-20 07:18,48.061,-29.078
image255,28-04-20 07:18,48.413,-27.784
image256,28-04-20 07:18,48.77,-26.383
image257,28-04-20 07:18,49.108,-24.961
image258,28-04-20 07:19,49.407,-23.61
image259,28-04-20 07:19,49.707,-22.151
image260,28-04-20 07:19,49.97,-20.766
image261,28-04-20 07:19,50.23,-19.272
image262,28-04-20 07:20,50.455,-17.857
image263,28-04-20 07:20,50.673,-16.332
image264,28-04-20 07:20,50.87,-14.793
image265,28-04-20 07:20,51.035,-13.338
image266,28-04-20 07:21,51.188,-11.776
image267,28-04-20 07:21,51.319,-10.203
image268,28-04-20 07:21,51.421,-8.721
image269,28-04-20 07:21,51.507,-7.133
image270,28-04-20 07:22,51.566,-5.639
image271,28-04-20 07:22,51.607,-4.042
image272,28-04-20 07:22,51.624,-2.443
image273,28-04-20 07:22,51.618,-0.944
image274,28-04-20 07:23,51.589,0.655
image275,28-04-20 07:23,51.541,2.15
image276,28-04-20 07:23,51.467,3.741
image277,28-04-20 07:24,51.376,5.227
image278,28-04-20 07:24,51.257,6.804
image279,28-04-20 07:24,51.124,8.275
image280,28-04-20 07:24,50.96,9.833
image281,28-04-20 07:25,50.787,11.282
image282,28-04-20 07:25,50.58,12.815
image283,28-04-20 07:25,50.367,14.239
image284,28-04-20 07:25,50.118,15.743
image285,28-04-20 07:26,49.866,17.137
image286,28-04-20 07:26,49.578,18.607
image287,28-04-20 07:26,49.269,20.058
image288,28-04-20 07:26,48.962,21.401
image289,28-04-20 07:27,48.615,22.814
image290,28-04-20 07:27,48.273,24.12
image291,28-04-20 07:27,47.891,25.492
image292,28-04-20 07:27,47.517,26.759
image293,28-04-20 07:28,47.101,28.089
image294,28-04-20 07:28,46.668,29.397
image295,28-04-20 07:28,46.247,30.603
image296,28-04-20 07:28,45.783,31.868
image297,28-04-20 07:29,45.335,33.033
image298,28-04-20 07:29,44.842,34.255
image299,28-04-20 07:29,44.367,35.38
image300,28-04-20 07:29,43.847,36.558
image301,28-04-20 07:30,43.313,37.715
image302,28-04-20 07:30,42.767,38.85
image303,28-04-20 07:30,42.244,39.895
image304,28-04-20 07:31,41.674,40.99
